NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
1,The Phantoms,Into the Darkness - Single,Into the Darkness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Into the Darkness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,The Police,Synchronicity,Every Breath You Take,-,-,-,-,-,-,-,-,-,-,-,Every Breath You Take,Every Breath You Take,Every Breath You Take,-,-,-,-,-,-,Every Breath You Take,-,-,-,-,-,-,-,-,-,-,-,-,Every Breath You Take,-,-,-,-,-,-,Every Breath You Take,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,The Police,Outlandos d'Amour,Roxanne,-,-,-,-,-,-,-,-,-,-,-,-,Roxanne,Roxanne,-,-,-,-,-,Roxanne,Roxanne,-,-,-,-,-,-,-,Roxanne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,The Pussycat Dolls,Doll Domination,When I Grow Up,-,-,-,-,-,-,-,When I Grow Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,The Raconteurs,Broken Boy Soldiers,Steady As She Goes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Steady As She Goes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Steady As She Goes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,The Rapture,The Music of Grand Theft Auto IV,No Sex for Ben,No Sex for Ben,No Sex for Ben,-,-,-,-,-,-,-,-,No Sex for Ben,-,-,-,-,-,-,-,-,No Sex for Ben,-,-,-,-,-,-,-,-,-,-,-,No Sex for Ben,No Sex for Ben,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,The Ready Set,"I'm Alive, I'm Dreaming",Love Like Woe,-,-,-,-,-,-,-,-,-,Love Like Woe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love Like Woe,-,-,-,-,-,-,-,-,-,-,Love Like Woe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,The Rolling Stones,Let It Bleed,Gimme Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gimme Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gimme Shelter,Gimme Shelter,Gimme Shelter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,The Rolling Stones,Some Girls,Miss You,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Miss You,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,The Rolling Stones,Flashpoint (Live),Paint It Black (Live),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paint It Black (Live),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,The Script,#3,Hall of Fame (feat. will.i.am),-,-,-,-,-,-,-,Hall of Fame (feat. will.i.am),-,-,-,-,Hall of Fame (feat. will.i.am),Hall of Fame (feat. will.i.am),-,-,-,-,-,-,-,-,-,-,-,-,Hall of Fame (feat. will.i.am),-,-,-,-,-,-,-,Hall of Fame (feat. will.i.am),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,The Script,Science & Faith,Nothing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nothing,Nothing,Nothing,-,-,-,-,Nothing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,The Script,Science & Faith,For the First Time,-,-,-,-,-,-,-,-,-,-,-,-,-,For the First Time,-,-,-,-,-,-,-,-,-,-,-,-,For the First Time,-,-,-,-,-,For the First Time,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,The Script,No Sound Without Silence,Hail Rain or Sunshine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hail Rain or Sunshine,-,-,-,-,-,Hail Rain or Sunshine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hail Rain or Sunshine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,The Script,The Script,Breakeven (Falling to Pieces),-,-,-,-,-,-,-,-,-,Breakeven (Falling to Pieces),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,The Temper Trap,Conditions,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,-,-,-,-,Sweet Disposition,Sweet Disposition,-,Sweet Disposition,Sweet Disposition,Sweet Disposition,Sweet Disposition,-,-,-,-,-,Sweet Disposition,-,-,-,Sweet Disposition,-,-,-,-,-,-,-,-,Sweet Disposition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sweet Disposition,-,-,-,-,-,-,-,-,-,-,-,-,-
12,The Vaccines,What Did You Expect from the Vaccines?,Wetsuit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,Wetsuit,-,-,-,Wetsuit,-,-,Wetsuit,-,-,-
7,The Vaccines,What Did You Expect from the Vaccines?,All In White,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,All In White,All In White,All In White,All In White,All In White,All In White,-,-,-,All In White,-,-,-,-,-,-
7,The Vaccines,Come of Age,I Always Knew,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I Always Knew,I Always Knew,I Always Knew,I Always Knew,-,I Always Knew,-,I Always Knew,-,-,-,-,I Always Knew,-,-,-,-,-,-
3,The Vaccines,What Did You Expect from the Vaccines?,Blow It Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Blow It Up,Blow It Up,Blow It Up,-,-,-,-,-,-,-,-,-
1,The Vamps,Meet the Vamps,Oh Cecilia (Breaking My Heart) [feat. Shawn Mendes],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oh Cecilia (Breaking My Heart) [feat. Shawn Mendes],-,-
2,The Wanted,The Wanted,Glad You Came,-,-,-,-,-,-,-,-,-,Glad You Came,-,-,-,-,-,-,-,-,-,-,-,-,Glad You Came,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,The Weeknd,After Hours,Save Your Tears,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,Save Your Tears,-,Save Your Tears,-,-,Save Your Tears,Save Your Tears,Save Your Tears,-,-,Save Your Tears,-,-,-
12,The Weeknd,After Hours,Blinding Lights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,Blinding Lights,-,Blinding Lights,-,-,-,-,-,-,Blinding Lights,-,-,-,-,-,-
26,The Weeknd,Starboy,Starboy (feat. Daft Punk),-,-,-,-,-,-,-,-,-,-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,-,-,-,-,-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,-,-,-,-,-,Starboy (feat. Daft Punk),-,-,Starboy (feat. Daft Punk),-,-,-,-,-,-,-,-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,-,-,-,Starboy (feat. Daft Punk),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),Starboy (feat. Daft Punk),-,Starboy (feat. Daft Punk),-,-,-
10,The Weeknd,Starboy,I Feel It Coming (feat. Daft Punk),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),-,I Feel It Coming (feat. Daft Punk),I Feel It Coming (feat. Daft Punk),-,-,I Feel It Coming (feat. Daft Punk),-,I Feel It Coming (feat. Daft Punk),-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,The Weeknd,After Hours,In Your Eyes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,In Your Eyes,In Your Eyes,In Your Eyes,In Your Eyes,In Your Eyes,-,In Your Eyes,-,-,In Your Eyes,-,-,-,-,-,-,In Your Eyes,-,-,-,-,-,-,-,-,-
17,The Weeknd,Beauty Behind the Madness,In the Night,In the Night,In the Night,In the Night,In the Night,In the Night,-,-,-,In the Night,-,In the Night,In the Night,-,-,-,In the Night,-,-,In the Night,-,-,-,-,-,In the Night,-,-,-,-,-,-,In the Night,In the Night,In the Night,-,-,In the Night,-,-,-,-,In the Night,-,-,-,-,-,-,-,-,-,-,-,-,In the Night,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,The Weeknd,Starboy,Party Monster,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Party Monster,Party Monster,Party Monster,Party Monster,-,Party Monster,-,-,-,-,-,-,-,Party Monster,Party Monster,-,-,-,-,-,-,Party Monster,-,-,-,-,Party Monster,-,-,-,Party Monster,-,-,-,-,-,-,-,-,-,-,-,-,-,Party Monster,-,-,-,-,-,-,-,-,-,-,-,-,-
4,The Weeknd,Beauty Behind the Madness,Can't Feel My Face,-,-,-,-,-,-,Can't Feel My Face,-,-,-,-,-,-,Can't Feel My Face,-,-,-,-,-,-,-,-,-,-,Can't Feel My Face,-,-,-,-,-,Can't Feel My Face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,The Weeknd,Beauty Behind the Madness,The Hills,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Hills,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,The White Stripes,White Blood Cells,We're Going to Be Friends,-,-,-,-,-,-,-,-,We're Going to Be Friends,We're Going to Be Friends,-,We're Going to Be Friends,We're Going to Be Friends,We're Going to Be Friends,-,-,-,We're Going to Be Friends,-,-,-,-,-,-,We're Going to Be Friends,We're Going to Be Friends,-,-,-,-,-,-,-,-,-,-,-,-,-,-,We're Going to Be Friends,We're Going to Be Friends,We're Going to Be Friends,We're Going to Be Friends,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,The White Stripes,Elephant,Seven Nation Army,-,-,-,-,-,Seven Nation Army,Seven Nation Army,Seven Nation Army,Seven Nation Army,Seven Nation Army,Seven Nation Army,-,Seven Nation Army,Seven Nation Army,-,-,-,-,Seven Nation Army,Seven Nation Army,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Thirty Seconds to Mars,AMERICA,Walk On Water,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Walk On Water,Walk On Water,Walk On Water,Walk On Water,Walk On Water,-,-,-,Walk On Water,Walk On Water,Walk On Water,-,-,-,-,-,-,-,-,-,-,Walk On Water,-,-,-,-,-,-
3,Thirty Seconds to Mars,AMERICA,Remedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Remedy,Remedy,-,-,Remedy,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Tiao Cruz,Rokstarr,Higher (feat. Travie McCoy) [Bonus Track],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Higher (feat. Travie McCoy) [Bonus Track],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Tierra Whack,Wasteland - Single,Wasteland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wasteland,Wasteland,Wasteland,Wasteland,Wasteland,-,-
7,Timbaland,Shock Value II,If We Ever Meet Again (feat. Katy Perry),-,-,-,-,-,-,If We Ever Meet Again (feat. Katy Perry),If We Ever Meet Again (feat. Katy Perry),If We Ever Meet Again (feat. Katy Perry),-,-,-,-,-,-,-,If We Ever Meet Again (feat. Katy Perry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,If We Ever Meet Again (feat. Katy Perry),If We Ever Meet Again (feat. Katy Perry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,If We Ever Meet Again (feat. Katy Perry),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Timbaland,Shock Value II,Carry Out (feat. Justin Timberlake),-,-,-,-,-,-,Carry Out (feat. Justin Timberlake),Carry Out (feat. Justin Timberlake),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Carry Out (feat. Justin Timberlake),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Timbaland,Dreaming Out Loud,Apologize (feat. OneRepublic),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apologize (feat. OneRepublic),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Tinie Tempah,Youth,Girls Like (feat. Zara Larsson),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),Girls Like (feat. Zara Larsson),-,-,-,Girls Like (feat. Zara Larsson),-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Tinie Tempah,Disc-Overy,Written In the Stars (feat. Eric Turner),-,-,-,-,-,-,-,-,-,-,Written In the Stars (feat. Eric Turner),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Written In the Stars (feat. Eric Turner),-,-,-,-,-,-,-,-,-,-,-,Written In the Stars (feat. Eric Turner),Written In the Stars (feat. Eric Turner),Written In the Stars (feat. Eric Turner),-,-,-,-,-,-,-,-,-,-,Written In the Stars (feat. Eric Turner),Written In the Stars (feat. Eric Turner),Written In the Stars (feat. Eric Turner),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Tones and I,The Kids Are Coming - EP,Dance Monkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dance Monkey,Dance Monkey,Dance Monkey,Dance Monkey,Dance Monkey,-,-,-,-,Dance Monkey,-,-,-,-,Dance Monkey,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Tove Lo,Lady Wood,True Disaster,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True Disaster,True Disaster,True Disaster,True Disaster,True Disaster,True Disaster,True Disaster,True Disaster,True Disaster,-,True Disaster,True Disaster,-,-,True Disaster,True Disaster,-,-,-,-,-,-,True Disaster,True Disaster,-,True Disaster,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True Disaster,True Disaster,-
30,Tove Lo,Queen of the Clouds,Habits (Stay High),Habits (Stay High),Habits (Stay High),-,-,-,-,Habits (Stay High),Habits (Stay High),-,-,Habits (Stay High),Habits (Stay High),-,Habits (Stay High),-,-,-,Habits (Stay High),Habits (Stay High),-,-,-,-,-,Habits (Stay High),Habits (Stay High),Habits (Stay High),Habits (Stay High),Habits (Stay High),Habits (Stay High),Habits (Stay High),Habits (Stay High),-,-,-,Habits (Stay High),Habits (Stay High),-,Habits (Stay High),Habits (Stay High),-,Habits (Stay High),Habits (Stay High),-,-,Habits (Stay High),-,-,-,-,-,Habits (Stay High),Habits (Stay High),-,-,-,-,-,-,-,-,-,-,-,-,Habits (Stay High),Habits (Stay High),-,-,-,-,-,-,Habits (Stay High),-,-,-,-,-,-,Habits (Stay High),-
34,Train,"Save Me, San Francisco","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister",-,"Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister",-,-,"Hey, Soul Sister",-,"Hey, Soul Sister",-,-,-,"Hey, Soul Sister","Hey, Soul Sister",-,"Hey, Soul Sister",-,-,-,-,-,"Hey, Soul Sister",-,-,"Hey, Soul Sister",-,-,-,-,-,"Hey, Soul Sister",-,"Hey, Soul Sister","Hey, Soul Sister",-,-,"Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister","Hey, Soul Sister",-,-,-,"Hey, Soul Sister",-,-,-,-,-,-,-,-,-,-,-,"Hey, Soul Sister",-,-,-,-,-,-,-,-,-,-,"Hey, Soul Sister",-
8,Train,California 37,Bruises (feat. Ashley Monroe),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bruises (feat. Ashley Monroe),Bruises (feat. Ashley Monroe),Bruises (feat. Ashley Monroe),Bruises (feat. Ashley Monroe),Bruises (feat. Ashley Monroe),Bruises (feat. Ashley Monroe),-,-,-,Bruises (feat. Ashley Monroe),-,Bruises (feat. Ashley Monroe),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Train,California 37,Sing Together,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sing Together,Sing Together,Sing Together,Sing Together,Sing Together,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Train,"Save Me, San Francisco",If It's Love,-,-,-,-,-,-,-,-,If It's Love,-,-,If It's Love,-,-,-,-,-,-,-,If It's Love,If It's Love,-,If It's Love,If It's Love,If It's Love,-,If It's Love,-,-,-,-,If It's Love,-,If It's Love,-,-,-,-,-,-,-,-,-,If It's Love,If It's Love,-,-,-,-,-,-,If It's Love,-,-,-,-,-,If It's Love,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Train,A Girl a Bottle a Boat,Play That Song,-,-,-,-,-,-,-,-,-,-,-,-,Play That Song,Play That Song,Play That Song,-,-,-,-,-,-,-,-,-,Play That Song,Play That Song,-,-,-,-,-,-,-,-,-,-,Play That Song,Play That Song,-,-,-,Play That Song,Play That Song,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Train,California 37,Mermaid,Mermaid,Mermaid,Mermaid,Mermaid,-,-,-,-,-,-,-,Mermaid,-,-,-,-,-,-,-,-,Mermaid,-,-,-,-,-,-,-,-,-,-,-,Mermaid,Mermaid,-,-,-,-,-,-,-,-,-,-,Mermaid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Train,California 37,50 Ways to Say Goodbye,-,-,-,-,-,-,-,-,-,50 Ways to Say Goodbye,-,-,-,-,-,50 Ways to Say Goodbye,-,-,-,-,50 Ways to Say Goodbye,-,-,-,-,-,-,-,-,-,-,50 Ways to Say Goodbye,50 Ways to Say Goodbye,-,-,-,50 Ways to Say Goodbye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Train,Drops of Jupiter,Drops of Jupiter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Drops of Jupiter,Drops of Jupiter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Drops of Jupiter,Drops of Jupiter,Drops of Jupiter,Drops of Jupiter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
